name,z,vmag,band,ra_deg,dec_deg,constellation
HE 1050-2711,0.208,15.83,*,163.2133,-27.4544,Hya
RX J10528+5729,0.204,15.3,R,163.2200,+57.4833,UMa
HXMM J11034+3812,0.07,14.4,R,165.8579,+38.2028,UMa
3C 249.1,0.313,15.72,V,166.0575,+76.9828,Dra
HXMM J11053+3814,0.028,11.3,R,166.3417,+38.2339,UMa
CSO  314,0.51,15.89,V,166.4158,+34.4264,UMa
MC 1104+167,0.632,15.7,V,166.8129,+16.4675,Leo
HE 1106-2321,0.081,14.82,*,167.2212,-23.6364,Crt
PG 1116+215,0.177,14.72,V,169.7867,+21.3217,Leo
CG  825,0.04,13.19,V,170.2850,+34.9225,UMa
HE 1125-3028,0.673,15.89,*,171.8833,-30.7458,Hya
NVSS J11275-3757,0.057,12.98,V,171.8983,-37.9539,Cen
HE 1127-1924,0.918,15.62,V,172.3767,-19.6836,Crt
TGN172Z242,1.16,15.66,V,173.8958,-3.7339,Leo
RXS J11357-0937,0.102,14.91,V,173.9425,-9.6328,Crt
NVSS J11362-3745,0.032,12.6,V,174.0554,-37.7561,Cen
PG 1148+549,0.978,15.78,V,177.8354,+54.6258,UMa
CGRaBS J1154+1225,0.081,14.69,R,178.5433,+12.4194,Leo
4C 29.45,0.729,14.41,V,179.8829,+29.2458,UMa
SBS 1201+524,0.177,15.89,V,180.9487,+52.1306,UMa
GQ COM,0.165,15.6,V,181.1754,+27.9033,Com
PG 1206+459,1.155,15.7,V,182.2417,+45.6767,UMa
HE 1211-1322,1.125,15.59,*,183.4429,-13.6478,Crv
PG 1211+143,0.082,14.19,V,183.5737,+14.0536,Com
PKS 1216-010,0.554,15.64,V,184.6458,-1.3317,Vir
MARK 1320,0.103,15.0,V,184.7867,-1.8081,Vir
PG 1216+069,0.334,15.65,V,184.8371,+6.6439,Vir
PKS 1217+02,0.24,15.97,V,185.0496,+2.0617,Vir
Q 1224-1116,1.979,15.4,V,186.8537,-11.5597,Vir
B2 1225+31,2.219,15.87,V,187.1033,+31.4772,CVn
3C 273.0,0.158,12.85,V,187.2779,+2.0522,Vir
NVSS J12308-2745,0.132,15.8,R,187.7075,-27.7606,Hya
RX J12308+0115,0.118,14.42,V,187.7083,+1.2558,Vir
FBS 1229+710,0.208,15.66,V,187.9021,+70.7372,Dra
RXS J12403-0349,0.09,15.0,V,190.0800,-3.8222,Vir
HE 1244-1819,1.041,15.8,O,191.7996,-18.5997,Crv
PG 1247+268,2.042,15.92,V,192.5237,+26.5186,Com
KUV 12491+2932,1.16,15.97,V,192.8700,+29.2572,Com
3C 278,0.016,11.6,V,193.6504,-12.5633,Crv
NPM1G+78.0053,0.043,12.9,V,193.7825,+78.6208,Cam
CGRaBS J1256-2155,0.129,15.9,R,194.1062,-21.9222,Crv
PG 1259+593,0.472,15.89,V,195.3037,+59.0353,UMa
NVSS J13037-2414,0.127,15.7,R,195.9275,-24.2447,Hya
PKS 1302-102,0.286,15.23,V,196.3875,-10.5556,Vir
