bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
CP-53 2806,HEN   318,84523,8585-3781-1,363236260,7.95,B5 IV ne,146.0294,-53.7451,Vel
CP-55 2500,HEN   321,84777,8589-2143-1,442759685,9.1,"B8 V,n",146.3974,-55.7433,Vel
CP-57 2322,,85083,8610-698-1,443175014,8.3,B5 III,146.8919,-58.1877,Car
CD-52 3378,HEN   326,298697,8598-222-1,445976130,10.01,Be*,147.2209,-53.1344,Vel
CP-50 2767,HEN   327,297625,8193-880-1,445903104,10.55,"B5 V:,e",147.2779,-51.1564,Vel
CP-57 2368,HEN   330,85495,8606-53-1,444676711,8.0,B4 II/III,147.5613,-58.0456,Car
CP-60 1510,HEN   331,85567,8942-1645-1,363464759,8.5,B8 V ne,147.6189,-60.9672,Car
CD-27 7035,HEN   336,85860,,22123033,7.0,Be*,148.5214,-27.9984,Ant
CP-58 1693,,86119,8610-946-1,469247028,9.7,B8/9 IV,148.6324,-58.6092,Car
CP-62 1360,ASW   469,86272,8946-1793-1,269870654,9.7,B2 V ne,148.7520,-63.5412,Car
CP-59 1559,HEN   347,86689,8610-3039-1,274907223,10.5,B2 V ne,149.5352,-59.6706,Car
CD-23 8898,MWC   581,86612,6604-1663-1,11559798,6.21,"B4 V,e",149.7757,-23.9504,Hya
CP-56 2734,HEN   351,86879,8606-893-1,461976111,10.7,B7/B8 III,149.9152,-57.5121,Car
CP-53 3193,HEN   354,87203,8599-2357-1,462229603,8.56,"B5 V,e",150.4677,-54.2056,Vel
CP-59 1727,HEN   360,87366,8943-1609-1,374690639,9.42,B9 III,150.6533,-60.1489,Car
CP-53 3218,HEN   359,87380,8603-50-1,462236255,9.12,"B1 IV,n",150.7556,-54.5583,Vel
CP-61 1441,HEN   362,87543,,,6.14,B7 IV ne,150.8927,-61.8837,Car
CP-59 1800,HEN   363,87565,8611-1377-1,462305062,10.17,B4 IV,150.9629,-59.8508,Car
CP-59 1850,,87801,8611-1433-1,462456977,9.0,B2/3 V n,151.3893,-59.9062,Car
CP-59 1853,HEN   366,87818,8943-445-1,375120109,9.7,B8/B9 IV,151.4173,-60.0029,Car
CP-50 3081,HEN   370,88263,8195-328-1,310146917,7.89,"B2 III,e",152.3253,-50.6394,Vel
CP-56 2949,HEN   379,300584,8607-285-1,463034184,10.1,"B1 V,e",152.7467,-57.1576,Car
CP-59 1955,HEN   382,88648,8611-1219-1,376242066,8.7,B5 V,152.9010,-59.8833,Car
CP-57 2781,MWC   199,88661,8607-604-1,463103957,5.72,"B2 IV,nep",152.9435,-58.0603,Car
CP-59 1974,HEN   387,88825,8611-2255-1,463230082,6.1,"B4 V,e",153.2554,-59.9177,Car
CP-69 1178,,89080,9214-2842-1,453885273,3.32,B8 III,153.4357,-70.0376,Car
CP-60 1793,HEN   393,305019,8943-2244-1,377117073,10.47,"B0 ,ep",153.7591,-60.9227,Car
CP-54 3389,MWC   200,89249,8604-440-1,463507508,8.83,"B ,p sh",154.0860,-55.5975,Vel
CP-60 1829,HEN   398,,8956-3115-1,377570572,10.0,"B2 V,e",154.4665,-61.5886,Car
CP-58 2090,HEN   400,302724,8612-1644-1,463906354,9.5,"B2 V,e",154.8247,-59.2966,Car
CP-55 3286,MWC   201,89890,8604-975-1,464028809,4.5,B3 III,155.2287,-56.0429,Vel
BD-17 3133,MWC   582,89884,6064-1123-1,5528993,7.13,B6 V,155.4974,-18.0344,Hya
CP-55 3353,ASW   555,,8608-1968-1,464197232,10.0,"B1 V,e",155.7345,-56.4990,Vel
CP-58 2145,MWC   202,90177,8612-13-1,464253921,8.55,"B2 ,eV",155.7246,-59.6245,Car
CP-57 3105,HEN   408,90187,8608-914-1,464225477,8.69,B1 III ne,155.7825,-57.9974,Car
CP-59 2111,HEN   409,90436,8612-607-1,464428632,9.4,"B8/B9 V,n",156.2107,-59.7924,Car
CP-58 2182,HEN   411,90490,8612-76-1,464439059,6.98,"B5 V,ne",156.3184,-58.8721,Car
CP-61 1644,HEN   414,307718,8960-1172-1,460028108,9.6,"B2 V,e",156.3328,-62.4421,Car
CP-59 2120,HEN   413,305138,8612-59-1,464431094,9.4,"B2 V,e",156.3782,-59.7930,Car
CP-55 3419,HEN   415,90551,8608-2412-1,464544465,8.55,"B3 V,n",156.4623,-56.6207,Vel
CP-58 2193,HEN   417,90563,8612-396-1,464578020,10.2,"B2 V,e",156.4633,-58.7949,Car
CP-57 3197,HEN   418,90578,8608-79-1,464570269,9.3,B1.5 III,156.5008,-57.8266,Car
